mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.394817511240642,0.21329908027779268,0.05252941449483236,0.03597473158515648,0.01,5,0,"{'learning_rate': 0.01, 'max_depth': 5, 'reg_lambda': 0}",0.042105263157894736,0.05882352941176471,0.03669724770642201,0.04587534675869382,0.009418182177533214,57
4.904942671457927,0.7613303593528994,0.027838706970214844,0.011132007089518206,0.01,5,0.1,"{'learning_rate': 0.01, 'max_depth': 5, 'reg_lambda': 0.1}",0.04188481675392671,0.05882352941176471,0.03636363636363636,0.045690660843109264,0.009555976693731708,58
4.0937347412109375,0.6417185704407505,0.02424001693725586,0.005806093266442077,0.01,5,0.5,"{'learning_rate': 0.01, 'max_depth': 5, 'reg_lambda': 0.5}",0.041237113402061855,0.05714285714285715,0.03555555555555556,0.04464517536682486,0.009136522395383873,59
4.533014297485352,0.6079324065694776,0.02697165807088216,0.0070178959508293975,0.01,5,1,"{'learning_rate': 0.01, 'max_depth': 5, 'reg_lambda': 1}",0.04081632653061225,0.055865921787709494,0.03493449781659389,0.04387224871163855,0.008814197738006358,60
7.496378183364868,1.1761560501625528,0.022982279459635418,0.006613164250152719,0.01,8,0,"{'learning_rate': 0.01, 'max_depth': 8, 'reg_lambda': 0}",0.06837606837606837,0.07058823529411765,0.034782608695652174,0.057915637455279396,0.016382433382816548,56
4.418532292048137,0.6365772762527615,0.034100612004597984,0.006155091762930354,0.01,8,0.1,"{'learning_rate': 0.01, 'max_depth': 8, 'reg_lambda': 0.1}",0.06722689075630252,0.06741573033707865,0.048387096774193554,0.061009905955858236,0.008926006902094413,54
5.414064645767212,0.17480897210181218,0.03106387456258138,0.007869874841429371,0.01,8,0.5,"{'learning_rate': 0.01, 'max_depth': 8, 'reg_lambda': 0.5}",0.0588235294117647,0.08421052631578947,0.044444444444444446,0.06249283339066621,0.016440461482103954,53
6.566484212875366,0.6617813402190371,0.08059358596801758,0.029544268292064566,0.01,8,1,"{'learning_rate': 0.01, 'max_depth': 8, 'reg_lambda': 1}",0.055944055944055944,0.0784313725490196,0.04,0.058125142831025184,0.01576516104171402,55
7.520142396291097,0.9170836852436112,0.07240645090738933,0.014844702514033099,0.01,10,0,"{'learning_rate': 0.01, 'max_depth': 10, 'reg_lambda': 0}",0.08,0.1224489795918367,0.1111111111111111,0.10452003023431594,0.017945486478785008,49
7.680943409601848,0.494509163751007,0.0864120324452718,0.03771204052277993,0.01,10,0.1,"{'learning_rate': 0.01, 'max_depth': 10, 'reg_lambda': 0.1}",0.075,0.12000000000000001,0.09999999999999999,0.09833333333333333,0.018408935028645438,50
7.347210725148519,0.11949409741201598,0.15419952074686685,0.1315144833142462,0.01,10,0.5,"{'learning_rate': 0.01, 'max_depth': 10, 'reg_lambda': 0.5}",0.06315789473684211,0.09999999999999999,0.0821917808219178,0.0817832251862533,0.015043500663874224,51
7.608571211496989,0.5620589561673788,0.08591866493225098,0.022681013141001547,0.01,10,1,"{'learning_rate': 0.01, 'max_depth': 10, 'reg_lambda': 1}",0.07547169811320754,0.08695652173913043,0.0689655172413793,0.07713124569790575,0.00743794928498143,52
211.15554404258728,20.580160854130057,0.09242645899454753,0.01229774930357839,0.01,16,0,"{'learning_rate': 0.01, 'max_depth': 16, 'reg_lambda': 0}",0.0909090909090909,0.2,0.125,0.13863636363636364,0.04556804012673506,46
208.2596595287323,14.25974446873514,0.07783420880635579,0.023900172274329907,0.01,16,0.1,"{'learning_rate': 0.01, 'max_depth': 16, 'reg_lambda': 0.1}",0.08333333333333333,0.1739130434782609,0.22222222222222224,0.1598228663446055,0.05756984559611551,45
212.41304834683737,22.91276714802284,0.09744373957316081,0.008870410237299366,0.01,16,0.5,"{'learning_rate': 0.01, 'max_depth': 16, 'reg_lambda': 0.5}",0.09756097560975609,0.12903225806451613,0.16666666666666666,0.1310866334469796,0.028249654602871946,47
199.52622691790262,19.65947580090581,0.10036420822143555,0.02336269946228872,0.01,16,1,"{'learning_rate': 0.01, 'max_depth': 16, 'reg_lambda': 1}",0.11320754716981132,0.10526315789473685,0.13043478260869565,0.11630182922441461,0.010506620413186321,48
2.5081119537353516,0.31996880390574267,0.043666442235310875,0.006058217744269495,0.1,5,0,"{'learning_rate': 0.1, 'max_depth': 5, 'reg_lambda': 0}",0.4444444444444445,0.42857142857142855,0.30769230769230765,0.3935693935693936,0.06106905144878511,12
2.50997265179952,0.13697582631189995,0.06949639320373535,0.017249403583307767,0.1,5,0.1,"{'learning_rate': 0.1, 'max_depth': 5, 'reg_lambda': 0.1}",0.4444444444444445,0.42857142857142855,0.26666666666666666,0.3798941798941799,0.08032575540464908,14
2.5558296044667563,0.146801378184242,0.04403535525004069,0.015182094697904288,0.1,5,0.5,"{'learning_rate': 0.1, 'max_depth': 5, 'reg_lambda': 0.5}",0.26666666666666666,0.33333333333333337,0.25,0.2833333333333334,0.036004114991154794,33
2.6315550804138184,0.3051016442102122,0.09023857116699219,0.03520429714554498,0.1,5,1,"{'learning_rate': 0.1, 'max_depth': 5, 'reg_lambda': 1}",0.35294117647058826,0.33333333333333337,0.22222222222222224,0.3028322440087146,0.057559236660666264,30
