mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
188.6856466134389,1.8556879878711297,2.7877117792765294,0.2648522150746542,0.0,0.5,20,0.0,1.0,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0, 'reg_lambda': 1}",0.9997666428988138,0.9997666459240822,0.9996370471190614,0.9997234453139856,6.109274952577653e-05,1
183.25629536310834,2.119034449904314,2.631978670756022,0.05244640251633572,0.0,0.5,20,0.0,0.5,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.9997601623117758,0.999779607182213,0.9996176106498674,0.9997191267146188,7.222030784820977e-05,2
176.49265368779498,0.9621482957926908,2.479987541834513,0.030147282751759607,0.0,0.5,20,0.0,0.1,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0, 'reg_lambda': 0.1}",0.9997536818087536,0.9997536850020096,0.9996240893889508,0.9997104853999046,6.109120522680896e-05,3
201.8477133115133,7.9709131419593655,2.288332382837931,0.223066637385285,0.1,0.5,20,0.0,1.0,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0, 'reg_lambda': 1}",0.9997148005548424,0.9997601654210392,0.9996370471190614,0.9997040043649812,5.083927194024557e-05,4
174.46036569277442,1.332356744300078,2.565139373143514,0.041826935291653794,0.0,0.5,20,0.0,0.0,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0, 'reg_lambda': 0}",0.9997601623117758,0.9997148042520092,0.9996305682120148,0.9997018449252668,5.369429383362835e-05,5
165.43278892834982,1.4844520299535169,2.6506788730621342,0.08422170159455675,0.0,0.5,15,0.0,0.5,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 15, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.9997083206398796,0.9997536850020096,0.9996305682120148,0.999697524617968,5.083864384159258e-05,6
123.24925009409588,0.2608666296792859,2.503333648045858,0.03087396805804589,0.1,0.5,10,0.0,1.0,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 10, 'reg_alpha': 0, 'reg_lambda': 1}",0.9997342408037596,0.9997148042520092,0.9996370471190614,0.9996953640582767,4.1992808396730985e-05,7
168.81253719329834,1.4557936718998217,2.8763043085734044,0.0468785600799326,0.0,0.5,15,0.0,1.0,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 15, 'reg_alpha': 0, 'reg_lambda': 1}",0.9997407210547468,0.9997472046669909,0.9995852182141052,0.9996910479786142,7.487974180403247e-05,8
169.9811611970266,2.1988345163783207,2.403471708297729,0.06076628018974405,0.0,0.5,20,0.1,0.0,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0.1, 'reg_lambda': 0}",0.9996953610619584,0.999727764165986,0.9996435261100921,0.9996888837793456,3.4693696908216385e-05,9
123.10331137975055,0.8731862841866207,2.4955161412556968,0.021406601924678772,0.0,0.5,10,0.1,1.0,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 1}",0.9997472013897439,0.9996629679560304,0.9996500051851084,0.9996867248436276,4.308957979316552e-05,10
178.2720437844594,2.8876894388610377,2.611595948537191,0.058419075903980724,0.0,0.5,20,0.1,0.5,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0.1, 'reg_lambda': 0.5}",0.9997148005548424,0.9996953650110512,0.9996500051851084,0.9996867235836672,2.71491643231506e-05,11
188.91438134511316,2.104638376933164,2.8353910446166988,0.01767161206108521,0.0,0.5,20,0.1,1.0,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0.1, 'reg_lambda': 1}",0.9997536818087536,0.9996953650110512,0.9996046534236366,0.9996845667478138,6.131784275040319e-05,12
173.04120659828186,2.488100721967124,2.5821964740753174,0.13013351106175913,0.1,0.5,15,0.0,1.0,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 15, 'reg_alpha': 0, 'reg_lambda': 1}",0.9996953610619584,0.9997342442489808,0.9996046534236366,0.9996780862448588,5.429708391631717e-05,13
120.22061149279276,0.6012767953872181,2.4469118118286133,0.04637445619680645,0.0,0.5,10,0.1,0.1,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.9996694429140875,0.9996953650110512,0.9996694429140875,0.9996780836130754,1.2219793697031758e-05,14
171.27225907643637,3.829561246094849,2.1920826435089107,0.14625487086358518,0.1,0.5,15,0.0,0.5,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 15, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.9996694429140875,0.9996824059370644,0.999682401820032,0.9996780835570612,6.10985747176167e-06,15
164.83478744824728,1.1395381151344253,2.7570743560791016,0.025313972562755596,0.0,0.5,15,0.1,1.0,"{'gamma': 0, 'learning_rate': 0.5, 'max_depth': 15, 'reg_alpha': 0.1, 'reg_lambda': 1}",0.9997342408037596,0.9997018446740386,0.999591696533309,0.9996759273370356,6.1010919938173585e-05,16
