[55]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[56]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[57]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[58]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[59]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[60]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[61]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[62]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[63]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[64]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[65]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[66]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[67]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[68]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[69]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[70]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[71]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[72]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[73]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[74]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[75]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[76]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[77]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[78]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[79]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[80]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[81]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[82]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[83]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[84]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
[85]	validation_0-error:0.00000	validation_1-error:0.00110	validation_0-f1_err:0.00000	validation_1-f1_err:0.17647
