mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
148.98188289006552,1.9715826805322936,1.6015766461690266,0.14905469065139915,0,0.01,5,0,0,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0}",0.3345724907063198,0.35205992509363293,0.352059925093633,0.3462307802978619,0.008243655627215978,984
145.0591252644857,2.1403920928351745,1.4210745493570964,0.16060645809890742,0,0.01,5,0,0.1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0.1}",0.3345724907063198,0.35205992509363293,0.352059925093633,0.3462307802978619,0.008243655627215978,984
145.79506198565164,1.1754299913492423,1.392947832743327,0.057474290957325015,0,0.01,5,0,0.5,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.3157894736842105,0.3823529411764706,0.3533834586466165,0.35050862450243253,0.027250349290308392,937
145.563223361969,1.0523779378727973,1.42841641108195,0.04043188308457417,0,0.01,5,0,1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 1}",0.3157894736842105,0.38827838827838823,0.3533834586466165,0.3524837735364051,0.02960031260796244,919
144.90837462743124,0.2611916087468724,1.4613470236460369,0.05419943013825382,0,0.01,5,0.1,0,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0}",0.3345724907063198,0.35205992509363293,0.3533834586466165,0.34667195814885643,0.008572660791190456,975
142.76337893803915,1.70283616570075,1.444560448328654,0.08998453946569812,0,0.01,5,0.1,0.1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.3345724907063198,0.3823529411764706,0.3533834586466165,0.35676963017646895,0.01965269243648856,914
141.3240828514099,0.9995217729500089,1.4370303948720295,0.05281255423875594,0,0.01,5,0.1,0.5,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0.5}",0.3157894736842105,0.3823529411764706,0.3533834586466165,0.35050862450243253,0.027250349290308392,937
142.59687781333923,1.0554625840497045,1.4218097527821858,0.05602770778402287,0,0.01,5,0.1,1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 1}",0.3157894736842105,0.38827838827838823,0.3282442748091603,0.3441040455905863,0.031647116052809926,987
141.12755290667215,2.2184470858093253,1.4633545875549316,0.08945449185594496,0,0.01,5,0.5,0,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.3157894736842105,0.3823529411764706,0.3533834586466165,0.35050862450243253,0.027250349290308392,937
140.7285931110382,1.9312146429231232,1.4793194929758708,0.052827220578053946,0,0.01,5,0.5,0.1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.5, 'reg_lambda': 0.1}",0.3157894736842105,0.3823529411764706,0.3533834586466165,0.35050862450243253,0.027250349290308392,937
141.43325074513754,1.5906051473079679,1.490667422612508,0.07365259300807224,0,0.01,5,0.5,0.5,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.3157894736842105,0.38827838827838823,0.3282442748091603,0.3441040455905863,0.031647116052809926,987
140.06094988187155,2.2489350624814026,1.4896171887715657,0.09608173247016122,0,0.01,5,0.5,1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.3157894736842105,0.38827838827838823,0.3282442748091603,0.3441040455905863,0.031647116052809926,987
140.78396479288736,1.5133916848055327,1.4799652099609375,0.0618501319639799,0,0.01,5,1,0,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 0}",0.3157894736842105,0.38827838827838823,0.3282442748091603,0.3441040455905863,0.031647116052809926,987
141.57127237319946,1.9741100582630866,1.4674590428670247,0.06643665567111255,0,0.01,5,1,0.1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 0.1}",0.3157894736842105,0.38827838827838823,0.3282442748091603,0.3441040455905863,0.031647116052809926,987
138.06899722417197,3.6329581312564283,1.5094857215881348,0.10555757305014428,0,0.01,5,1,0.5,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 0.5}",0.3157894736842105,0.38827838827838823,0.3282442748091603,0.3441040455905863,0.031647116052809926,987
131.91262873013815,5.762776931795455,1.4390615622202556,0.06779794946777738,0,0.01,5,1,1,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 5, 'reg_alpha': 1, 'reg_lambda': 1}",0.3157894736842105,0.38827838827838823,0.3282442748091603,0.3441040455905863,0.031647116052809926,987
301.471204996109,3.6236168825846344,2.3167304197947183,0.10744722512978527,0,0.01,10,0,0,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 10, 'reg_alpha': 0, 'reg_lambda': 0}",0.4225352112676056,0.4491228070175438,0.41379310344827586,0.4284837072444751,0.015024101567441795,826
