mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.7161274751027427,0.13291851805224456,0.0658260981241862,0.013640841219568359,0.5,8,0.1,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 0.1}",0.48275862068965514,0.3333333333333333,0.4666666666666667,0.4275862068965517,0.06696984832625559,1
2.0719992319742837,0.0448345377948264,0.06028898557027181,0.022804961935695128,0.5,5,0,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 0}",0.5,0.42857142857142855,0.3529411764705882,0.4271708683473389,0.06004468098102527,2
2.094932794570923,0.11634187977896727,0.03921651840209961,0.016966292480641486,0.5,5,0.5,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 0.5}",0.5517241379310345,0.32,0.3870967741935483,0.41960697070819425,0.09735400585162018,3
3.4815541903177896,0.07045687769111401,0.04208191235860189,0.006762436144818518,0.5,8,0.5,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 0.5}",0.5517241379310345,0.32,0.37037037037037035,0.4140315027671349,0.09951127201342948,4
2.6517749627431235,0.10146157215393645,0.09518011411031087,0.02327084573632137,1,5,0.1,"{'learning_rate': 1, 'max_depth': 5, 'reg_lambda': 0.1}",0.43243243243243246,0.39999999999999997,0.4,0.4108108108108108,0.015288795268898338,5
3.507105271021525,0.20454496287527107,0.07896010080973308,0.011593434345966632,1,8,0.5,"{'learning_rate': 1, 'max_depth': 8, 'reg_lambda': 0.5}",0.46153846153846156,0.25,0.5161290322580645,0.4092224979321754,0.11477190564679199,6
3.43083389600118,0.0749012869168088,0.06446234385172527,0.03263393276094114,1,8,1,"{'learning_rate': 1, 'max_depth': 8, 'reg_lambda': 1}",0.5517241379310345,0.25,0.4,0.4005747126436782,0.12317903385864437,7
2.1936272780100503,0.12203455940892159,0.06590930620829265,0.008216441742453237,1,5,1,"{'learning_rate': 1, 'max_depth': 5, 'reg_lambda': 1}",0.5517241379310345,0.23999999999999996,0.4,0.3972413793103448,0.1272757951151585,8
2.005612293879191,0.05375615765028226,0.05187654495239258,0.013314594296162052,0.5,5,1,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 1}",0.48275862068965514,0.25,0.45161290322580644,0.3947905079718205,0.10316889818201944,9
3.204192320505778,0.13590523901916424,0.06835317611694336,0.008994876485601652,0.1,8,0,"{'learning_rate': 0.1, 'max_depth': 8, 'reg_lambda': 0}",0.46153846153846156,0.23999999999999996,0.4615384615384615,0.3876923076923077,0.10443423229832088,10
3.358454624811808,0.2522324754008477,0.06152780850728353,0.021123060511275108,1,8,0,"{'learning_rate': 1, 'max_depth': 8, 'reg_lambda': 0}",0.44444444444444436,0.35714285714285715,0.35714285714285715,0.3862433862433862,0.041154362926201137,11
2.2027268409729004,0.2694319323081167,0.0506742795308431,0.015941219548132782,0.5,5,0.1,"{'learning_rate': 0.5, 'max_depth': 5, 'reg_lambda': 0.1}",0.5142857142857142,0.2962962962962963,0.3448275862068966,0.385136532262969,0.09344679390952841,12
3.3191331227620444,0.12590674882007205,0.04841391245524088,0.015674100493835892,0.5,8,1,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 1}",0.44444444444444436,0.39999999999999997,0.30769230769230765,0.38404558404558403,0.05695726039703611,13
5.869991381963094,0.1104021045080949,0.10462514559427898,0.042264398617001646,1,10,1,"{'learning_rate': 1, 'max_depth': 10, 'reg_lambda': 1}",0.46153846153846156,0.25,0.4,0.37051282051282053,0.08884162122600213,14
3.4785474141438804,0.13520960974468504,0.049169460932413735,0.017403565803560027,0.1,8,0.5,"{'learning_rate': 0.1, 'max_depth': 8, 'reg_lambda': 0.5}",0.34782608695652173,0.2608695652173913,0.4999999999999999,0.3695652173913044,0.09882740360134673,15
3.4388795693715415,0.26653056462889196,0.05504504839579264,0.014412370873583382,0.1,8,0.1,"{'learning_rate': 0.1, 'max_depth': 8, 'reg_lambda': 0.1}",0.44444444444444436,0.2608695652173913,0.4,0.3684380032206119,0.07819656344253396,16
2.3283201853434243,0.11408058393314349,0.05125800768534342,0.01041465826448647,0.1,5,0,"{'learning_rate': 0.1, 'max_depth': 5, 'reg_lambda': 0}",0.44444444444444436,0.2608695652173913,0.3846153846153846,0.36330979809240677,0.07644335630004241,17
2.3521858056386313,0.232127803467237,0.055658976236979164,0.0177250387014826,0.1,5,0.1,"{'learning_rate': 0.1, 'max_depth': 5, 'reg_lambda': 0.1}",0.3846153846153846,0.2608695652173913,0.4444444444444444,0.36330979809240677,0.07644335630004243,17
2.044901212056478,0.2305990093450219,0.03516165415445963,0.009757676773534178,1,5,0.5,"{'learning_rate': 1, 'max_depth': 5, 'reg_lambda': 0.5}",0.46153846153846156,0.23999999999999996,0.3870967741935483,0.36287841191067,0.09204969414743924,19
6.268743435541789,0.31699300689367643,0.055354913075764976,0.01066524152427607,1,10,0,"{'learning_rate': 1, 'max_depth': 10, 'reg_lambda': 0}",0.4516129032258065,0.25,0.3636363636363637,0.35508308895405677,0.08253003319046082,20
3.427512804667155,0.23145367952452112,0.06455643971761067,0.025731972008755703,0.5,8,0,"{'learning_rate': 0.5, 'max_depth': 8, 'reg_lambda': 0}",0.42857142857142855,0.16666666666666666,0.4666666666666667,0.353968253968254,0.13335222844195696,21
