mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5996325016021729,0.04022096309534429,0.011087973912556967,0.00023476344633440563,0.5,1,5,0.1,0.1,"{'gamma': 0.5, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.5714285714285714,0.44444444444444436,0.7058823529411764,0.5739184562713974,0.10674609952182268,1
0.6302568117777506,0.03806796779474305,0.010942300160725912,0.00011176591249491696,1,1,5,0,0,"{'gamma': 1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0}",0.6206896551724138,0.35714285714285715,0.7272727272727274,0.5683684131959995,0.15556812968825914,2
0.4351049264272054,0.02008205486341682,0.016366004943847656,0.0007009092900466184,0,1,5,0.1,0.1,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.5925925925925926,0.44444444444444436,0.6666666666666667,0.5679012345679012,0.09238660214256651,3
0.6002792517344157,0.056618538869870755,0.010805288950602213,0.00032395966615017123,1,1,5,0,0.1,"{'gamma': 1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0.1}",0.6451612903225806,0.48275862068965514,0.5517241379310346,0.5598813496477568,0.06655104233202691,4
0.6483924388885498,0.012130037709359429,0.010901689529418945,0.000211960508524092,1,1,5,0,0.5,"{'gamma': 1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.6206896551724138,0.44444444444444436,0.6,0.555044699872286,0.07866099343942637,5
0.39572946230570477,0.011697665661213228,0.015348354975382486,0.00022668549071255313,0,1,5,0,0,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0}",0.6451612903225806,0.3846153846153846,0.625,0.5515922249793217,0.1183569975971303,6
0.42585118611653644,0.017176817435433877,0.016312201817830402,0.0004803879904390603,0,1,5,0.1,0,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0}",0.6206896551724138,0.32,0.7058823529411764,0.5488573360378634,0.16552181957280956,7
0.5501918792724609,0.002397610451890997,0.012406667073567709,0.00013700881300951224,0.1,1,5,0.1,0.1,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.5185185185185185,0.37037037037037035,0.7272727272727274,0.5387205387205388,0.14640335675977853,8
0.6383272806803385,0.005463202243517621,0.010553359985351562,0.00013636750751787574,1,1,5,0.1,0.1,"{'gamma': 1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.5185185185185185,0.5,0.5806451612903226,0.5330545599362804,0.03449041301540381,9
0.42269643147786456,0.005860215905619144,0.016080856323242188,8.48651817017848e-05,0,1,5,0,0.1,"{'gamma': 0, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0.1}",0.5714285714285714,0.44444444444444436,0.5806451612903226,0.5321727257211127,0.062147270704290915,10
0.4775699774424235,0.007859539742643726,0.012786070505777994,0.00016345645020059236,0.1,1,5,0,0,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0}",0.5161290322580646,0.3846153846153846,0.6857142857142857,0.528819567529245,0.1232502179168953,11
0.48362239201863605,0.0249055975186489,0.012499729792277018,0.0002001861864412797,0.1,1,5,0,0.1,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0.1}",0.6206896551724138,0.3846153846153846,0.5806451612903226,0.5286500670260402,0.10315161228477256,12
0.5258809725443522,0.03264038346758183,0.011979103088378906,8.570631163736793e-05,0.1,1,10,0.1,0.1,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.5384615384615384,0.46153846153846156,0.5806451612903226,0.5268817204301075,0.04930970574289125,13
0.6148930390675863,0.04959463584260891,0.010619004567464193,0.00027796548108452223,1,1,5,0.1,0.5,"{'gamma': 1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0.5}",0.5925925925925926,0.48275862068965514,0.48275862068965514,0.519369944657301,0.051776230891479855,14
0.5772794882456461,0.04756650728677465,0.011232376098632812,0.00024424095439227355,0.5,1,5,0.1,0,"{'gamma': 0.5, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0}",0.5384615384615384,0.27586206896551724,0.7428571428571429,0.5190602500947329,0.19114289114426095,15
0.6486998399098715,0.016298202314491205,0.011032581329345703,0.00032355360127840025,0.5,1,5,0.1,1,"{'gamma': 0.5, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 1}",0.5714285714285714,0.44444444444444436,0.5333333333333333,0.5164021164021163,0.053205524190376885,16
0.5949704647064209,0.01067556795277476,0.011068026224772135,0.00024447368195299406,0.5,1,5,0,0,"{'gamma': 0.5, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0, 'reg_lambda': 0}",0.4516129032258065,0.3846153846153846,0.7058823529411764,0.5140368802607892,0.13838516518750452,17
0.567669153213501,0.029201409238698135,0.012809197107950846,0.00048440781800061187,0.1,0.5,20,0,0,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 20, 'reg_alpha': 0, 'reg_lambda': 0}",0.5925925925925926,0.44444444444444436,0.48275862068965514,0.506598552575564,0.06278654428126565,18
0.5589330196380615,0.03319763077684941,0.012805938720703125,0.0003701983148056125,0.1,0.5,15,0,0,"{'gamma': 0.1, 'learning_rate': 0.5, 'max_depth': 15, 'reg_alpha': 0, 'reg_lambda': 0}",0.5925925925925926,0.44444444444444436,0.48275862068965514,0.506598552575564,0.06278654428126565,18
0.49463844299316406,0.03517900798859072,0.012252012888590494,0.00024316126349093137,0.1,1,5,0.1,0,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 5, 'reg_alpha': 0.1, 'reg_lambda': 0}",0.5714285714285714,0.32,0.625,0.5054761904761905,0.13296249449867678,20
0.5200061798095703,0.033557817873956,0.011531432469685873,0.0003887381280227439,0.1,1,20,0.1,0.1,"{'gamma': 0.1, 'learning_rate': 1, 'max_depth': 20, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.5384615384615384,0.46153846153846156,0.5161290322580645,0.5053763440860215,0.03231104215818792,21
