mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_reg_alpha,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.778881359100342,0.18105606565054203,0.06917705535888671,0.0036205808761738774,0,0.01,0,0,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0, 'reg_lambda': 0}",0.9090909090909091,0.8125,0.8823529411764706,0.9041095890410958,0.9295774647887325,0.8875261808194417,0.04040803789814435,315
6.416373014450073,0.17636561711919949,0.05566387176513672,0.001998189001146145,0,0.01,0,0.1,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0, 'reg_lambda': 0.1}",0.9090909090909091,0.8125,0.8823529411764706,0.9041095890410958,0.9295774647887325,0.8875261808194417,0.04040803789814435,315
6.324553060531616,0.08091143796348858,0.05492987632751465,0.0036034858069564843,0,0.01,0,0.5,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0, 'reg_lambda': 0.5}",0.9090909090909091,0.8125,0.8529411764705881,0.9041095890410958,0.9295774647887325,0.8816438278782652,0.04280279750360511,346
5.948145580291748,0.10436039413261046,0.04884743690490723,0.0010989479268680522,0,0.01,0,1,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0, 'reg_lambda': 1}",0.9090909090909091,0.8125,0.8529411764705881,0.823529411764706,0.9722222222222222,0.874056743909685,0.05941711043967239,381
5.2633076190948485,0.11207909114112684,0.042997312545776364,0.0052003924338992185,0,0.01,0,10,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0, 'reg_lambda': 10}",0.7017543859649122,0.6896551724137931,0.711864406779661,0.6999999999999998,0.7868852459016393,0.7180318422120011,0.03514019568451861,711
6.4309955596923825,0.15810015529682267,0.05965027809143066,0.005273876865890054,0,0.01,0.1,0,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.1, 'reg_lambda': 0}",0.9090909090909091,0.8125,0.8823529411764706,0.9041095890410958,0.9295774647887325,0.8875261808194417,0.04040803789814435,315
6.462668466567993,0.22154758730451865,0.06227211952209473,0.00771237324087585,0,0.01,0.1,0.1,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.1, 'reg_lambda': 0.1}",0.9253731343283582,0.8125,0.8695652173913043,0.9041095890410958,0.9295774647887325,0.8882250811098981,0.04341611108599317,310
5.987576007843018,0.09330990946712425,0.05268492698669434,0.005222067186344375,0,0.01,0.1,0.5,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.1, 'reg_lambda': 0.5}",0.9090909090909091,0.8125,0.835820895522388,0.823529411764706,0.9722222222222222,0.870632687720045,0.061007306406156606,399
5.937155294418335,0.11198516158652665,0.048868656158447266,0.0012577821073725254,0,0.01,0.1,1,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.1, 'reg_lambda': 1}",0.9090909090909091,0.8125,0.8656716417910447,0.835820895522388,0.9722222222222222,0.8790611337253129,0.05667478634338137,361
5.252289819717407,0.05518199644366634,0.042588996887207034,0.0035480450403399073,0,0.01,0.1,10,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.1, 'reg_lambda': 10}",0.7017543859649122,0.6896551724137931,0.711864406779661,0.6999999999999998,0.7868852459016393,0.7180318422120011,0.03514019568451861,711
5.949006509780884,0.09511617938733363,0.048711204528808595,0.0017460858296398326,0,0.01,0.5,0,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.5, 'reg_lambda': 0}",0.9090909090909091,0.8125,0.8656716417910447,0.823529411764706,0.9722222222222222,0.8766028369737764,0.05872647591131454,371
5.952336263656616,0.1123387563567574,0.04854440689086914,0.0018290755632735657,0,0.01,0.5,0.1,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.5, 'reg_lambda': 0.1}",0.9090909090909091,0.8125,0.8656716417910447,0.823529411764706,0.9722222222222222,0.8766028369737764,0.05872647591131454,371
5.923422956466675,0.11231353147558991,0.048534393310546875,0.0020995440113818326,0,0.01,0.5,0.5,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.5, 'reg_lambda': 0.5}",0.9090909090909091,0.8125,0.8656716417910447,0.835820895522388,0.9722222222222222,0.8790611337253129,0.05667478634338137,361
5.945077323913575,0.08498570454615917,0.051430034637451175,0.004268778781009297,0,0.01,0.5,1,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.5, 'reg_lambda': 1}",0.9090909090909091,0.8307692307692307,0.835820895522388,0.835820895522388,0.9428571428571428,0.8708718147524117,0.04627728979589909,395
5.269577598571777,0.12418247154040532,0.04154348373413086,0.005942861329531138,0,0.01,0.5,10,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 0.5, 'reg_lambda': 10}",0.7017543859649122,0.6896551724137931,0.711864406779661,0.6999999999999998,0.7868852459016393,0.7180318422120011,0.03514019568451861,711
5.904059505462646,0.10836666324687527,0.04810347557067871,0.001635407745954473,0,0.01,1,0,"{'gamma': 0, 'learning_rate': 0.01, 'reg_alpha': 1, 'reg_lambda': 0}",0.8955223880597015,0.8307692307692307,0.835820895522388,0.8529411764705881,0.9428571428571428,0.8715821667358103,0.04229729825228462,392
